func_sexo;func_idade;func_racacor;func_escolaridade;func_uf;func_deficiencia;empresa_porte;empresa_setor;contrato_horastrabalho;contrato_salario
FEMININO;30;PRETA-PARDA;MEDIO COMPLETO;MA;NAO;ATE 4;Comércio;44;1583,19
MASCULINO;21;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Indústria;44;979,95
FEMININO;26;SEM INFO;MEDIO COMPLETO;RN;NAO;ATE 4;Comércio;44;1015,85
MASCULINO;49;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Comércio;44;1089,45
FEMININO;31;SEM INFO;MEDIO COMPLETO;BA;NAO;ATE 4;Serviços;44;1281,62
MASCULINO;31;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 50 A 99;Serviços;40;3268,05
MASCULINO;23;SEM INFO;ANALFABETO-FUND_INCOMPLETO;BA;NAO;1000 OU MAIS;Serviços;44;1467,2
FEMININO;35;SEM INFO;SUPERIOR_COMPLETO;PE;NAO;DE 5 A 9;Serviços;44;1984,99
MASCULINO;41;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 100 A 249;Serviços;36;789,34
MASCULINO;43;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;1000 OU MAIS;Indústria;44;1566,52
MASCULINO;45;PRETA-PARDA;SUPERIOR_COMPLETO;BA;NAO;DE 250 A 499;Indústria;0;11742,97
MASCULINO;19;AMARELA-BRANCA;MEDIO COMPLETO;CE;NAO;DE 10 A 19;Serviços;44;998
MASCULINO;42;AMARELA-BRANCA;SUPERIOR_COMPLETO;PE;NAO;DE 100 A 249;Serviços;44;7777,76
FEMININO;33;PRETA-PARDA;MEDIO COMPLETO;SE;NAO;ATE 4;Comércio;44;1093
MASCULINO;29;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;PE;NAO;1000 OU MAIS;Indústria;44;763,38
MASCULINO;34;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 500 A 999;Serviços;44;3057,97
FEMININO;24;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;DE 100 A 249;Comércio;44;2027,77
MASCULINO;23;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Comércio;44;3144,95
MASCULINO;29;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;RN;NAO;DE 5 A 9;Serviços;36;1264,68
FEMININO;25;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Comércio;44;997,99
MASCULINO;23;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 100 A 249;Serviços;44;1009,52
FEMININO;31;SEM INFO;SUPERIOR_COMPLETO;SE;NAO;DE 10 A 19;Serviços;21;1043,74
MASCULINO;36;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 5 A 9;Serviços;44;1414,18
MASCULINO;34;PRETA-PARDA;MEDIO COMPLETO;RN;NAO;DE 20 A 49;Comércio;44;1478,22
MASCULINO;49;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;DE 10 A 19;Construçao civil;42;986,7
MASCULINO;29;SEM INFO;SUPERIOR_COMPLETO;BA;NAO;DE 10 A 19;Indústria;44;5162,87
FEMININO;26;PRETA-PARDA;MEDIO COMPLETO;PB;NAO;DE 250 A 499;Comércio;44;1298,54
MASCULINO;20;SEM INFO;MEDIO COMPLETO;BA;NAO;ATE 4;Comércio;44;1046,06
MASCULINO;43;AMARELA-BRANCA;FUND_COMPLETO-MEDIO_INCOMPLETO;AL;NAO;DE 100 A 249;Serviços;44;1775,19
FEMININO;21;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Serviços;36;1266,24
MASCULINO;38;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;ATE 4;Indústria;44;2748,08
MASCULINO;44;PRETA-PARDA;SUPERIOR_INCOMPLETO;PE;NAO;DE 20 A 49;Serviços;40;3999,99
FEMININO;39;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 100 A 249;Serviços;44;1123
FEMININO;24;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Serviços;30;1417,91
MASCULINO;30;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 250 A 499;Indústria;44;1500
FEMININO;38;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Serviços;42;1077,02
FEMININO;38;SEM INFO;MEDIO COMPLETO;BA;NAO;ATE 4;Comércio;44;1346,01
FEMININO;33;AMARELA-BRANCA;MEDIO COMPLETO;PI;NAO;ATE 4;Comércio;44;1096,05
FEMININO;25;AMARELA-BRANCA;SUPERIOR_COMPLETO;SE;NAO;DE 50 A 99;Serviços;6;1019,57
MASCULINO;19;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;PE;NAO;DE 10 A 19;Comércio;44;1055
MASCULINO;19;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Serviços;40;1030,3
FEMININO;24;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Comércio;44;998
FEMININO;33;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Comércio;38;1414,26
FEMININO;40;SEM INFO;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;DE 5 A 9;Serviços;44;1078,12
FEMININO;24;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;ATE 4;Serviços;44;1206,33
MASCULINO;34;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 20 A 49;Comércio;44;1089,99
MASCULINO;25;PRETA-PARDA;MEDIO COMPLETO;MA;NAO;1000 OU MAIS;Serviços;36;1497,34
MASCULINO;24;SEM INFO;MEDIO COMPLETO;PE;NAO;ATE 4;Serviços;44;1509,2
MASCULINO;39;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;DE 50 A 99;Serviços;44;1539,99
MASCULINO;33;AMARELA-BRANCA;MEDIO COMPLETO;CE;NAO;DE 100 A 249;Indústria;44;2722,51
MASCULINO;68;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;ATE 4;Comércio;44;1805,4
FEMININO;32;SEM INFO;FUND_COMPLETO-MEDIO_INCOMPLETO;MA;NAO;DE 20 A 49;Comércio;12;356,78
MASCULINO;29;PRETA-PARDA;SUPERIOR_COMPLETO;RN;NAO;DE 100 A 249;Serviços;0;1399,99
MASCULINO;45;AMARELA-BRANCA;MEDIO COMPLETO;PE;NAO;ATE 4;Serviços;44;1127,13
FEMININO;25;AMARELA-BRANCA;MEDIO COMPLETO;RN;NAO;DE 100 A 249;Comércio;44;1534,02
MASCULINO;33;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 20 A 49;Serviços;39;3224,53
FEMININO;57;AMARELA-BRANCA;SUPERIOR_COMPLETO;CE;NAO;ATE 4;Serviços;8;5109,94
MASCULINO;43;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;ATE 4;Indústria;44;998
FEMININO;24;SEM INFO;SUPERIOR_COMPLETO;MA;NAO;DE 10 A 19;Comércio;44;1148,7
FEMININO;21;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;DE 10 A 19;Serviços;44;1398,42
MASCULINO;37;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 50 A 99;Serviços;44;1374,33
MASCULINO;28;SEM INFO;MEDIO COMPLETO;CE;NAO;DE 100 A 249;Serviços;44;1120,65
FEMININO;30;PRETA-PARDA;SUPERIOR_INCOMPLETO;CE;NAO;DE 50 A 99;Indústria;44;1100
MASCULINO;23;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;ATE 4;Comércio;44;1997,46
MASCULINO;41;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 250 A 499;Indústria;44;1199,91
FEMININO;27;AMARELA-BRANCA;FUND_COMPLETO-MEDIO_INCOMPLETO;PI;NAO;ATE 4;Comércio;44;1671,24
MASCULINO;27;SEM INFO;SUPERIOR_COMPLETO;BA;NAO;DE 50 A 99;Serviços;40;6183,51
MASCULINO;56;PRETA-PARDA;MEDIO COMPLETO;RN;NAO;DE 250 A 499;Indústria;40;21635,07
MASCULINO;21;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 10 A 19;Agricultura;44;1321,91
